target_key	type	name
AADAT	protein	AADAT
AAK1	protein	AAK1
ABAT	protein	ABAT
ABCA1	protein	ABCA1
ABCB1	protein	ABCB1
ABCC1	protein	ABCC1
ABCC2	protein	ABCC2
ABCC3	protein	ABCC3
ABCC4	protein	ABCC4
ABCC5	protein	ABCC5
ABCC8	protein	ABCC8
ABCC9	protein	ABCC9
ABCG2	protein	ABCG2
ABHD16A	protein	ABHD16A
ABHD6	protein	ABHD6
ABL1	protein	ABL1
ABL2	protein	ABL2
ACAA2	protein	ACAA2
ACACA	protein	ACACA
ACACB	protein	ACACB
ACADSB	protein	ACADSB
ACAT1	protein	ACAT1
ACAT2	protein	ACAT2
ACE	protein	ACE
ACE2	protein	ACE2
ACHE	protein	ACHE
ACKR3	protein	ACKR3
ACLY	protein	ACLY
ACMSD	protein	ACMSD
ACP1	protein	ACP1
ACP3	protein	ACP3
ACTA1	protein	ACTA1
ACTB	protein	ACTB
ACTR2	protein	ACTR2
ACTR3	protein	ACTR3
ACVR1	protein	ACVR1
ACVR1B	protein	ACVR1B
ACVRL1	protein	ACVRL1
ADA	protein	ADA
ADAM10	protein	ADAM10
ADAM12	protein	ADAM12
ADAM17	protein	ADAM17
ADAMTS4	protein	ADAMTS4
ADAMTS5	protein	ADAMTS5
ADAR	protein	ADAR
ADCY1	protein	ADCY1
ADCY10	protein	ADCY10
ADCY2	protein	ADCY2
ADCY3	protein	ADCY3
ADCY4	protein	ADCY4
ADCY5	protein	ADCY5
ADCY6	protein	ADCY6
ADCY7	protein	ADCY7
ADCY8	protein	ADCY8
ADCY9	protein	ADCY9
ADCYAP1	protein	ADCYAP1
ADH5	protein	ADH5
ADIPOR1	protein	ADIPOR1
ADIPOR2	protein	ADIPOR2
ADK	protein	ADK
ADORA1	protein	ADORA1
ADORA2A	protein	ADORA2A
ADORA2B	protein	ADORA2B
ADORA3	protein	ADORA3
ADRA1A	protein	ADRA1A
ADRA1B	protein	ADRA1B
ADRA1D	protein	ADRA1D
ADRA2A	protein	ADRA2A
ADRA2B	protein	ADRA2B
ADRA2C	protein	ADRA2C
ADRB1	protein	ADRB1
ADRB2	protein	ADRB2
ADRB3	protein	ADRB3
AGPAT2	protein	AGPAT2
AGTR1	protein	AGTR1
AGTR2	protein	AGTR2
